"","X","ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","concentration","spcode","ctcode","Continent"
"1594",1594,166,"Wastewater dilution index partially explains observed polybrominated diphenyl ether flame retardant concentrations in osprey eggs from Columbia River Basin, 2008-2009","2009",NA,"United States of America","Osprey","Pandion haliaetus","wild","BDE 183","flame retardants","egg(s)","Spokane River (RM 68-96)",8,3,0.375,"egg(s)","unknown/mixed","geometric mean","5.00E-03",NA,"ND","0.82","ng/g","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1595",1595,167,"PCDDs, PCDFs, PCBs, OC pesticides and mercury in fish and osprey eggs from Willamette River, Oregon (1993, 2001 and 2006) with calculated biomagnification factors","1993",NA,"United States of America","Osprey","Pandion haliaetus","wild","octachlorostyrene","organochlorine insecticides","egg(s)","Willamette River (Upper River)",10,4,0.4,"egg(s)","unknown/mixed","geometric mean","0.1",NA,NA,NA,"µg/kg","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1596",1596,167,"PCDDs, PCDFs, PCBs, OC pesticides and mercury in fish and osprey eggs from Willamette River, Oregon (1993, 2001 and 2006) with calculated biomagnification factors","1993",NA,"United States of America","Osprey","Pandion haliaetus","wild","Hg","heavy metals","egg(s)","Willamette River (Upper River)",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","0.13",NA,NA,NA,"µg/g","dry","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1597",1597,167,"PCDDs, PCDFs, PCBs, OC pesticides and mercury in fish and osprey eggs from Willamette River, Oregon (1993, 2001 and 2006) with calculated biomagnification factors","2001",NA,"United States of America","Osprey","Pandion haliaetus","wild","pentachlorobenzene","organochlorine insecticides","egg(s)","Willamette River (Upper River)",11,4,0.36,"egg(s)","unknown/mixed","geometric mean","0.1",NA,NA,NA,"µg/kg","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1598",1598,167,"PCDDs, PCDFs, PCBs, OC pesticides and mercury in fish and osprey eggs from Willamette River, Oregon (1993, 2001 and 2006) with calculated biomagnification factors","2001",NA,"United States of America","Osprey","Pandion haliaetus","wild","Mirex","organochlorine insecticides","egg(s)","Willamette River (Upper River)",11,3,0.27,"egg(s)","unknown/mixed","geometric mean","0.1",NA,NA,NA,"µg/kg","wet","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1599",1599,167,"PCDDs, PCDFs, PCBs, OC pesticides and mercury in fish and osprey eggs from Willamette River, Oregon (1993, 2001 and 2006) with calculated biomagnification factors","2006",NA,"United States of America","Osprey","Pandion haliaetus","wild","Hg","heavy metals","egg(s)","Willamette River (Upper River)",10,NA,NA,"egg(s)","unknown/mixed","geometric mean","0.13",NA,NA,NA,"µg/g","dry","yes","Productivity","Nesting Success",NA,53,29,"N. America"
"1600",1600,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","viceral, bone, muscle",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",1.29,12,26,"Asia"
"1601",1601,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","viceral, bone, muscle",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",2.49,12,26,"Asia"
"1602",1602,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.27,12,26,"Asia"
"1603",1603,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",7.539,12,26,"Asia"
"1604",1604,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1605",1605,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","Carbofuran","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1606",1606,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","viceral, bone, muscle",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.02,12,26,"Asia"
"1607",1607,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","viceral, bone, muscle",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.05,12,26,"Asia"
"1608",1608,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.029,12,26,"Asia"
"1609",1609,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1610",1610,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1611",1611,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","DDE","organochlorine insecticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1612",1612,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","mirex","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.005,12,26,"Asia"
"1613",1613,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","mirex","organochlorine insecticides","viceral, bone, muscle",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1614",1614,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","mirex","organochlorine insecticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1615",1615,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","mirex","organochlorine insecticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1616",1616,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","mirex","organochlorine insecticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1617",1617,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","brodifacoum","anticoagulant rodenticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.033,12,26,"Asia"
"1618",1618,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","brodifacoum","anticoagulant rodenticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.148,12,26,"Asia"
"1619",1619,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","brodifacoum","anticoagulant rodenticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.02,12,26,"Asia"
"1620",1620,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","brodifacoum","anticoagulant rodenticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1621",1621,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","brodifacoum","anticoagulant rodenticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.01 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1622",1622,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","flocoumafen","anticoagulant rodenticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.095,12,26,"Asia"
"1623",1623,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","flocoumafen","anticoagulant rodenticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1624",1624,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","flocoumafen","anticoagulant rodenticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1625",1625,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","bromadiolone","anticoagulant rodenticides","liver",NA,1,NA,NA,"juvenile","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",0.009,12,26,"Asia"
"1626",1626,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","bromadiolone","anticoagulant rodenticides","liver",NA,1,NA,NA,"adult","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1627",1627,168,"RECENT AVIAN POISONINGS SUGGEST A SECONDARY POISONING CRISIS OF BLACK KITES DURING THE 1980S IN TAIWAN","2010","2016","Taiwan","Black Kite","Milvus migrans","wild","bromadiolone","anticoagulant rodenticides","stomach",NA,1,NA,NA,"nestling","unknown/mixed","not specified","0.005 µg/g",NA,NA,NA,"µg/g","unclear","no","none","none",NA,12,26,"Asia"
"1628",1628,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","1992","2003","Canada","Barn Owl","Tyto alba","wild","brodifacoum","anticoagulant rodenticides","liver",NA,78,NA,NA,"unknown/mixed","unknown/mixed","not specified","2 ng/g",NA,NA,"358","ng/g",NA,"no","none","none",22,8,4,"N. America"
"1629",1629,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","1992","2003","Canada","Barn Owl","Tyto alba","wild","bromadiolone","anticoagulant rodenticides","liver",NA,78,NA,NA,"unknown/mixed","unknown/mixed","not specified","2 ng/g",NA,NA,"385","ng/g",NA,"no","none","none",17,8,4,"N. America"
"1630",1630,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","1992","2003","Canada","Barn Owl","Tyto alba","wild","difenacoum","anticoagulant rodenticides","liver",NA,78,NA,NA,"unknown/mixed","unknown/mixed","not specified","5 ng/g",NA,NA,"720","ng/g",NA,"no","none","none",17,8,4,"N. America"
"1631",1631,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","2006","2013","Canada","Barn Owl","Tyto alba","wild","brodifacoum","anticoagulant rodenticides","liver",NA,41,NA,NA,"unknown/mixed","unknown/mixed","not specified","2 ng/g",NA,NA,"472","ng/g",NA,"no","none","none",47,8,4,"N. America"
"1632",1632,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","2006","2013","Canada","Barn Owl","Tyto alba","wild","bromadiolone","anticoagulant rodenticides","liver",NA,41,NA,NA,"unknown/mixed","unknown/mixed","not specified","2 ng/g",NA,NA,"688","ng/g",NA,"no","none","none",46,8,4,"N. America"
"1633",1633,170,"Increased rodenticide exposure rate and risk of toxicosis in barn owls (Tyto alba) from southwestern Canada and linkage with demographic but not genetic factors","2006","2013","Canada","Barn Owl","Tyto alba","wild","difenacoum","anticoagulant rodenticides","liver",NA,41,NA,NA,"unknown/mixed","unknown/mixed","not specified","5 ng/g",NA,NA,"857","ng/g",NA,"no","none","none",47,8,4,"N. America"
"1634",1634,171,"Biomonitoring with the buzzard Buteo buteo in the Netherlands: Heavy metals and sources of variation","1996",NA,"Netherlands","Common Buzzard","Buteo buteo","wild","Cd","heavy metals","liver",NA,80,NA,NA,"unknown/mixed","unknown/mixed","not specified",NA,"0.22",NA,NA,"mg/kg","dry","yes","body condition","Morphology",1.78,21,18,"Europe"
"1635",1635,171,"Biomonitoring with the buzzard Buteo buteo in the Netherlands: Heavy metals and sources of variation","1996",NA,"Netherlands","Common Buzzard","Buteo buteo","wild","Cu","heavy metals","liver",NA,80,NA,NA,"unknown/mixed","unknown/mixed","not specified",NA,"1.8",NA,NA,"mg/kg","dry","yes","body condition","Morphology",21.4,21,18,"Europe"
